,...1,year,warming_baseline,warming_pulse,warming_norm_damage,warming_pulse_damage,warming_damage_diff,warming_damage_diff_per_CO2,,PV .01
1,1,2022,0.302284516,0.303257486,1.45326E+12,1.46367E+12,10404553496,0.297272957,,$111.84 
2,2,2023,0.33639039,0.337610124,1.83991E+12,1.85457E+12,14664046711,0.418972763,,
3,3,2024,0.372418637,0.373796614,2.29739E+12,2.31589E+12,18497918358,0.528511953,,
4,4,2025,0.408188069,0.409665678,2.80144E+12,2.82333E+12,21889918468,0.625426242,,
5,5,2026,0.439648525,0.441186784,3.28581E+12,3.31048E+12,24668821534,0.704823472,,
6,6,2027,0.467470627,0.469043529,3.74619E+12,3.77311E+12,26924199282,0.769262837,,
7,7,2028,0.492583854,0.494174043,4.18754E+12,4.21631E+12,28770853809,0.822024395,,
8,8,2029,0.517694216,0.519290147,4.65331E+12,4.68375E+12,30430550463,0.869444299,,
9,9,2030,0.541975061,0.543569112,5.12698E+12,5.15888E+12,31897113593,0.911346103,,
10,10,2031,0.566717206,0.568304411,5.63319E+12,5.66648E+12,33284351328,0.950981467,,
11,11,2032,0.59224179,0.593818962,6.18031E+12,6.21495E+12,34636353200,0.989610091,,
12,12,2033,0.61996651,0.621531675,6.80325E+12,6.8393E+12,36056785074,1.030193859,,
13,13,2034,0.652148244,0.653700258,7.56374E+12,7.60143E+12,37692279517,1.076922272,,
14,14,2035,0.690043743,0.691582022,8.51081E+12,8.55043E+12,39621183453,1.132033813,,
15,15,2036,0.727904537,0.729428877,9.51267E+12,9.55417E+12,41502070958,1.185773456,,
16,16,2037,0.767585514,0.769095958,1.06224E+13,1.06659E+13,43449952093,1.241427203,,
17,17,2038,0.804009451,0.805506207,1.16949E+13,1.17401E+13,45172100662,1.290631447,,
18,18,2039,0.840433794,0.841917166,1.28189E+13,1.28657E+13,46865185511,1.3390053,,
19,19,2040,0.873665585,0.875135943,1.38893E+13,1.39376E+13,48350430420,1.381440869,,
20,20,2041,0.904700235,0.906157978,1.49276E+13,1.49773E+13,49691421265,1.419754893,,
21,21,2042,0.934378389,0.935823921,1.59555E+13,1.60065E+13,50940174977,1.455433571,,
22,22,2043,0.965077,0.96651072,1.70548E+13,1.7107E+13,52232123602,1.492346389,,
23,23,2044,0.997763471,0.999185769,1.82654E+13,1.8319E+13,53620361919,1.532010341,,
24,24,2045,1.033368888,1.034780142,1.96313E+13,1.96865E+13,55154268447,1.575836241,,
25,25,2046,1.074478454,1.075879025,2.12696E+13,2.13266E+13,56971518296,1.627757666,,
26,26,2047,1.118377621,1.119767854,2.30916E+13,2.31505E+13,58919815823,1.683423309,,
27,27,2048,1.164883614,1.166263833,2.51033E+13,2.51642E+13,60986844545,1.742481273,,
28,28,2049,1.210248246,1.211618756,2.71465E+13,2.72095E+13,62971034422,1.799172412,,
29,29,2050,1.251383184,1.252744275,2.90683E+13,2.9133E+13,64711397696,1.848897077,,
30,30,2051,1.287866507,1.289218454,3.08277E+13,3.08939E+13,66191085084,1.89117386,,
31,31,2052,1.322870331,1.324213396,3.25643E+13,3.26319E+13,67580946097,1.930884174,,
